dateTime,rate,rateZone
07.05.2018 18:58:31,48,25%
07.05.2018 18:57:30,55,28%
07.05.2018 18:56:29,88,46%
07.05.2018 18:55:28,80,42%
07.05.2018 18:54:28,82,43%
07.05.2018 18:53:27,92,48%
07.05.2018 18:52:26,83,43%
07.05.2018 18:51:26,70,36%
07.05.2018 18:50:25,85,44%
07.05.2018 18:49:24,68,35%
07.05.2018 18:48:23,62,32%
07.05.2018 18:47:22,61,32%
07.05.2018 18:46:22,53,27%
07.05.2018 18:45:21,69,36%
07.05.2018 18:44:21,93,48%
07.05.2018 18:43:20,66,34%
07.05.2018 18:42:20,54,28%
07.05.2018 18:41:20,81,42%
07.05.2018 18:40:20,70,36%
07.05.2018 18:39:20,92,48%
07.05.2018 18:39:19,96,50%
07.05.2018 18:39:10,95,50%
07.05.2018 18:39:04,100,52%
07.05.2018 18:39:01,110,57%
07.05.2018 18:38:55,94,49%
07.05.2018 18:38:49,91,47%
07.05.2018 18:38:41,83,43%
07.05.2018 18:38:04,57,30%
07.05.2018 18:37:04,49,25%
07.05.2018 18:36:03,78,41%
07.05.2018 18:35:03,68,35%
07.05.2018 18:34:02,55,28%
07.05.2018 18:33:02,46,24%
07.05.2018 18:32:01,59,31%
07.05.2018 18:31:00,91,47%
07.05.2018 18:30:00,135,71%
07.05.2018 18:27:59,84,44%
07.05.2018 18:26:58,77,40%
07.05.2018 18:25:57,57,30%
07.05.2018 18:24:57,99,52%
07.05.2018 18:23:56,109,57%
07.05.2018 18:22:56,88,46%
07.05.2018 18:21:56,77,40%
07.05.2018 18:20:56,75,39%
07.05.2018 18:19:56,75,39%
07.05.2018 18:18:56,66,34%
07.05.2018 18:17:56,64,33%
07.05.2018 18:16:56,90,47%
07.05.2018 18:15:56,84,44%
07.05.2018 18:14:56,68,35%
07.05.2018 18:13:56,71,37%
07.05.2018 18:12:56,53,27%
07.05.2018 18:11:56,90,47%
07.05.2018 18:10:56,79,41%
07.05.2018 18:09:56,93,48%
07.05.2018 18:08:56,83,43%
07.05.2018 18:07:55,80,42%
07.05.2018 18:06:54,67,35%
07.05.2018 18:05:54,69,36%
07.05.2018 18:04:54,81,42%
07.05.2018 18:03:54,73,38%
07.05.2018 18:02:53,65,34%
07.05.2018 18:00:52,75,39%
07.05.2018 17:59:52,58,30%
07.05.2018 17:58:52,57,30%
07.05.2018 17:57:52,50,26%
07.05.2018 17:56:52,83,43%
07.05.2018 17:55:52,58,30%
07.05.2018 17:54:52,54,28%
07.05.2018 17:53:52,50,26%
07.05.2018 17:52:52,82,43%
07.05.2018 17:51:51,83,43%
07.05.2018 17:50:51,80,42%
07.05.2018 17:49:51,83,43%
07.05.2018 17:46:50,57,30%
07.05.2018 17:45:50,52,27%
07.05.2018 17:44:50,79,41%
07.05.2018 17:43:50,84,44%
07.05.2018 17:42:49,74,38%
07.05.2018 17:41:49,64,33%
07.05.2018 17:40:49,59,31%
07.05.2018 17:39:50,74,38%
07.05.2018 17:38:49,55,28%
07.05.2018 17:37:49,49,25%
07.05.2018 17:36:49,49,25%
07.05.2018 17:35:49,79,41%
07.05.2018 17:34:49,71,37%
07.05.2018 17:33:49,78,41%
07.05.2018 17:32:48,71,37%
07.05.2018 17:31:48,83,43%
07.05.2018 17:30:48,71,37%
07.05.2018 17:29:48,68,35%
07.05.2018 17:28:47,91,47%
07.05.2018 17:25:46,62,32%
07.05.2018 17:23:46,75,39%
07.05.2018 17:22:46,61,32%
07.05.2018 17:21:47,58,30%
07.05.2018 17:20:47,65,34%
07.05.2018 17:19:47,66,34%
07.05.2018 17:18:47,60,31%
07.05.2018 17:17:47,52,27%
07.05.2018 17:16:47,83,43%
07.05.2018 17:15:47,75,39%
07.05.2018 17:14:46,55,28%
07.05.2018 17:13:46,55,28%
07.05.2018 17:12:45,63,33%
07.05.2018 17:11:45,68,35%
07.05.2018 17:10:45,70,36%
07.05.2018 17:09:45,83,43%
07.05.2018 17:08:45,79,41%
07.05.2018 17:07:45,57,30%
07.05.2018 17:06:45,96,50%
07.05.2018 17:05:45,66,34%
07.05.2018 17:04:45,70,36%
07.05.2018 17:02:45,57,30%
07.05.2018 17:01:45,53,27%
07.05.2018 17:00:45,52,27%
07.05.2018 16:59:45,88,46%
